"FIPS","MSCODE","RACE","AGE","INCOME"
"10",3,"RBK",4,8
"34",3,"ROT",1,8
"24",3,"ROT",1,8
"42",3,"ROT",1,8
"10",3,"ROT",1,8
"34",2,"RMT",1,8
"24",2,"RMT",1,8
"42",2,"RMT",1,8
"10",2,"RMT",1,8
"34",1,"RBK",2,8
"24",1,"RBK",2,8
"42",1,"RBK",2,8
"10",1,"RBK",2,8
"34",4,"RWH",4,8
"24",4,"RWH",4,8
"42",4,"RWH",4,8
"10",4,"RWH",4,8
"34",3,"RMT",2,8
"24",3,"RMT",2,8
"42",3,"RMT",2,8
"10",3,"RMT",2,8
"34",4,"RHS",1,8
"24",4,"RHS",1,8
"42",4,"RHS",1,8
"10",4,"RHS",1,8
"34",2,"ROT",3,7
"24",2,"ROT",3,7
"42",2,"ROT",3,7
"10",2,"ROT",3,7
"34",2,"RBK",2,7
"24",2,"RBK",2,7
"42",2,"RBK",2,7
"10",2,"RBK",2,7
"34",4,"RBK",3,7
"24",4,"RBK",3,7
"42",4,"RBK",3,7
"10",4,"RBK",3,7
"34",4,"RMT",2,7
"24",4,"RMT",2,7
"42",4,"RMT",2,7
"10",4,"RMT",2,7
"34",2,"RWH",1,7
"24",2,"RWH",1,7
"42",2,"RWH",1,7
"10",2,"RWH",1,7
"34",1,"RMT",3,7
"24",1,"RMT",3,7
"42",1,"RMT",3,7
"10",1,"RMT",3,7
"34",2,"RHS",4,7
"24",2,"RHS",4,7
"42",2,"RHS",4,7
"10",2,"RHS",4,7
"34",3,"RWH",2,7
"24",3,"RWH",2,7
"42",3,"RWH",2,7
"10",3,"RWH",2,7
"34",4,"ROT",1,7
"24",4,"ROT",1,7
"42",4,"ROT",1,7
"10",4,"ROT",1,7
"34",3,"RHS",3,7
"24",3,"RHS",3,7
"42",3,"RHS",3,7
"10",3,"RHS",3,7
"34",2,"RWH",3,5
"24",2,"RWH",3,5
"42",2,"RWH",3,5
"10",2,"RWH",3,5
"34",2,"ROT",2,5
"24",2,"ROT",2,5
"42",2,"ROT",2,5
"10",2,"ROT",2,5
"34",1,"RHS",1,5
"24",1,"RHS",1,5
"42",1,"RHS",1,5
"10",1,"RHS",1,5
"34",4,"ROT",3,5
"24",4,"ROT",3,5
"42",4,"ROT",3,5
"10",4,"ROT",3,5
"34",4,"RBK",2,5
"24",4,"RBK",2,5
"42",4,"RBK",2,5
"10",4,"RBK",2,5
"34",1,"RBK",3,5
"24",1,"RBK",3,5
"42",1,"RBK",3,5
"10",1,"RBK",3,5
"34",2,"RMT",4,5
"24",2,"RMT",4,5
"42",2,"RMT",4,5
"10",2,"RMT",4,5
"34",4,"RHS",4,5
"24",4,"RHS",4,5
"42",4,"RHS",4,5
"10",4,"RHS",4,5
"34",4,"RWH",1,5
"24",4,"RWH",1,5
"42",4,"RWH",1,5
"10",4,"RWH",1,5
"34",3,"RMT",3,5
"24",3,"RMT",3,5
"42",3,"RMT",3,5
"10",3,"RMT",3,5
"34",2,"RBK",3,8
"24",2,"RBK",3,8
"42",2,"RBK",3,8
"10",2,"RBK",3,8
"34",2,"RMT",2,8
"24",2,"RMT",2,8
"42",2,"RMT",2,8
"10",2,"RMT",2,8
"34",3,"RWH",4,8
"24",3,"RWH",4,8
"42",3,"RWH",4,8
"10",3,"RWH",4,8
"34",4,"RMT",3,8
"24",4,"RMT",3,8
"42",4,"RMT",3,8
"10",4,"RMT",3,8
"34",4,"RHS",2,8
"24",4,"RHS",2,8
"42",4,"RHS",2,8
"10",4,"RHS",2,8
"34",2,"ROT",1,8
"24",2,"ROT",1,8
"42",2,"ROT",1,8
"10",2,"ROT",1,8
