"STATE","FIPS","AVG_AGE","AVG_AGE_G","AVG_HISPANC2","AVG_WHITE","AVG_BLACK","AVG_OTHER","AVG_MULTI","AVG_INCOME_SCALE","AVG_GENHLTH","AVG_GEN_VGEXCL","AVG_GEN_FRPOOR","AVG_PHYSHLTH7P","AVG_MENTHLTH7P","DIABETES","OVERWT","NOTOVERWT","OBESE","FRUDAY","VEGDAY","FRUVEGDAY","FRUVEGLT1","FRUVEG1PLT3","FRUVEG3PLT5","FRUVEG5PLT7","FRUVEG5P","BMI","PHYSINACT","PHYSACT","PHYSREC","HIGHBP","HIGHCHOL","STROKE","NOWASTHMA","COPD","DEPRESS","FLUSHOT","HIVTEST","DOCTOR","CHECKUP","EVERSMOKE","NOWSMOKE","BINGEDRK","HEAVYDRK","ALWAYSBELT","MSCODE"
"HI","15",47.5405539111424,2.62344016160795,0.0979745326131261,0.256142124591644,0.00948201689104804,0.423520701885729,0.200015479313281,6.11555171596118,2.48582550808588,0.48976057726412,0.137718894351644,0.17690656925459,0.15800675130259,0.0837581811188289,0.342768648812876,0.43787363318082,0.219357718006297,1.35771108832878,2.00367409412009,3.36665994674798,0.0868979543386693,0.423462368082089,0.308387837953544,0.110527039829735,0.181251839625691,26.5338593804287,0.262467377256957,0.577699084629441,0.256991967135989,0.284824211308584,0.349454792529021,0.0268148354345487,0.0942373812785572,0.0467347077998191,0.114135198549141,0.464206348086759,0.31158759471413,0.850821339133094,0.67680096950433,0.406050155239951,0.133387119736709,0.182728292791262,0.0757961472462083,0.939806297285013,1.98005698005698
"ID","16",46.4878029571898,2.56675946259185,0.0989207529457801,0.838235120406028,0.00604699031038718,0.0273147014389172,0.0148994635957973,5.71540663414511,2.43063175347,0.54617067328176,0.14201058800618,0.215317119115936,0.218882981712801,0.0836530790277596,0.360870600106254,0.342809024540534,0.296320375353207,1.37299735470281,1.95899933617957,3.33437715041066,0.070435103859556,0.443216507017959,0.307753512445398,0.115927083283117,0.178594876677084,27.6881331348263,0.277351823161784,0.534012805153306,0.201998313639437,0.294201516829095,0.384394226898308,0.0225442846077796,0.085470616358492,0.0444710940271162,0.208275532513619,0.337883151740579,0.299493789067289,0.719176394787912,0.584729079640417,0.418712597508702,0.171843935590834,0.148807938009643,0.0620811631394974,0.780123253663476,2.40604026845638
"IL","17",46.4199066705822,2.57206519093788,0.145705674978664,0.650190155594951,0.13468261958487,0.051048016644735,0.0115854438497295,5.92487615536737,2.53474818553962,0.498925053266271,0.168994237542862,0.216745408180529,0.21607457142296,0.0986556815596806,0.362550510053352,0.346616170081801,0.290833319864843,1.49604317983994,1.89966928900377,3.39244144652705,0.0831125123113699,0.42182238692842,0.306869498808585,0.122040373784736,0.188195601951624,27.8323456250239,0.285962169872144,0.502484838873761,0.20045570222324,0.301279677642641,0.366045339925312,0.0280958537886617,0.0756762754276051,0.0499909527499874,0.153740077319256,0.36203433093111,0.334496590205565,0.799610632739823,0.665068147269093,0.428575914437004,0.180306846555832,0.21791907667042,0.0653567588205718,0.882437567537843,1.85238552673711
"IN","18",46.8022368240987,2.58252504916245,0.0544232500150815,0.815648243281873,0.084019012047788,0.0208228045610782,0.00925501354065812,5.89164147549486,2.59182960887718,0.494822568916205,0.180933552314391,0.228942308650645,0.227602629088142,0.109689533622983,0.362547210906043,0.319652383485869,0.317800405608093,1.29315943800639,1.75200408670743,3.04874858111821,0.106596203729539,0.468672520076569,0.281705663424188,0.0917447922084915,0.143025612769709,29.1473656755069,0.364197216849472,0.427263781828636,0.158315971480169,0.334811466036202,0.398154191136594,0.0306880177525019,0.103025363384086,0.079965181297196,0.19520231995432,0.357601911980578,0.30403730920786,0.804279160121606,0.647419957083814,0.471821393164922,0.219146731078179,0.150355462913896,0.0521039463374079,0.862662960351761,1.95698213103905
"IA","19",47.6678722539184,2.61846078527381,0.044087502703223,0.888458822531135,0.0243726330959935,0.0251779254664694,0.00812156354698557,6.00997447847607,2.45921394200805,0.538689380707372,0.143581412538145,0.179850369094159,0.162317905484674,0.0933954869861175,0.363581591648604,0.32457985714733,0.311838551204065,1.29482251571554,1.6932674203722,2.99893442212594,0.0933818735042097,0.48263294060998,0.294877656812472,0.0903276305591849,0.129107529073335,28.1871833204563,0.323665963848194,0.449964742784951,0.173470630763278,0.313774689027345,0.410560256660798,0.0281073907091415,0.0775489771254142,0.0634246815947456,0.191683892918652,0.463802668380549,0.26369580660409,0.805865974717399,0.695757085771304,0.438902157365774,0.19506137337638,0.21656829574746,0.0650224714714991,0.864655875259782,2.44606060606061
"KS","20",46.7607794538263,2.5763603448726,0.0924974297683797,0.792068830088909,0.0561209059390376,0.0363956442099467,0.0138277193154169,6.02067422003779,2.49497660048032,0.528048084267865,0.153890754763526,0.192372823162208,0.17825338073472,0.0955104246306179,0.35893892566038,0.341970291607601,0.299090782732019,1.24548190921213,1.87350837568918,3.1207486516604,0.0928608256478683,0.468037450525168,0.299357336872614,0.0883884709928225,0.13974438695435,27.9824660374305,0.304706848418873,0.472209932410502,0.172363996053382,0.313219390566691,0.381125625620004,0.0298690551659532,0.0888008235878789,0.0623275317214135,0.181098852196039,0.421706133131584,0.306655278507322,0.784668753493433,0.697511798625218,0.44088998172709,0.200171147510995,0.153634420582295,0.0455302824009403,0.829955132318831,2.20649350649351
"KY","21",47.1917560791349,2.60746049298315,0.0241188148187157,0.863667906492493,0.0751127680394481,0.0171200530007557,0.0120998267120489,6.2539663136531,2.73031542941479,0.453044995602911,0.23332114763843,0.265860581923433,0.253315762576922,0.106291132166556,0.345690523083141,0.324223906657704,0.330085570259158,1.17676111175608,1.7503557794793,2.92683924408298,0.103506777855669,0.497423535312413,0.275169657502459,0.0851951619462151,0.123900029329464,28.4020237281389,0.332449392934144,0.452458512851686,0.163022348900578,0.390876706726758,0.432086583470325,0.0418069951105366,0.0946360325970033,0.109068892185869,0.202155446587329,0.409978299179483,0.316760926725346,0.782441470124555,0.690445008782698,0.52483712954483,0.264630535295145,0.134052508777545,0.0491341337860313,0.827837466588073,2.45650224215247
"LA","22",46.2540316424698,2.56442602972397,0.0465443386538597,0.606939038247283,0.300703217234612,0.0274897738776761,0.0070140989998271,5.63220097122816,2.69893020985308,0.444110609509313,0.227453638853427,0.236877567124871,0.246738586447308,0.116278267862312,0.350926209621424,0.319515504329385,0.329558286049187,1.14936752538577,1.68128202390692,2.83550266609288,0.147755435352952,0.489348149761781,0.236939195563921,0.0799451058878134,0.125957219321343,28.4086820091424,0.378410510608322,0.432203427094547,0.169118193217222,0.398453281110583,0.406972413493,0.039785430614111,0.0774777463609469,0.0746798587023637,0.186773904507714,0.419360981335531,0.435174305302694,0.741181869923211,0.749178666397476,0.461305915768809,0.235258310322417,0.163238193008084,0.0629470732365115,0.903681617369968,1.93554006968641
"ME","23",49.3612434338573,2.70923558315614,0.010199301098987,0.936443978674879,0.0103084452789047,0.0157781263328217,0.0137580658503603,5.85029636481698,2.4516669572726,0.55642156206868,0.148558815387665,0.218727403370601,0.213511833008151,0.0964788027268746,0.367473091845375,0.344646467404411,0.287880440750215,1.5157197883906,2.03668194030916,3.54924967236177,0.059181351441071,0.409729607576826,0.323883639573649,0.137580206745431,0.207205401408457,27.7840808761967,0.277322259482351,0.525695306470049,0.202432970881417,0.333359963292563,0.396780380589676,0.0247703188939199,0.11881240966689,0.0706915606238347,0.233996530028153,0.440610128627589,0.315896879390162,0.873533712704971,0.720942804139087,0.5135739233267,0.202042374036674,0.171939347348837,0.0724489403334865,0.852557973348094,2.54189944134078
"MD","24",46.7022749565953,2.58789804566237,0.080884421444674,0.546400691440399,0.27873361959001,0.0699242519937538,0.00909086616115597,6.46510807240706,2.43587699323506,0.545549594910463,0.149791130007283,0.195550836828484,0.194318312572349,0.0981448164080941,0.366285364343041,0.350918079077278,0.282796556579681,1.42637794441188,1.91334815640711,3.31952107059659,0.0774701198217758,0.427129417294532,0.324311194954843,0.112558043967504,0.171089267928848,27.5886751405132,0.296333623231752,0.470389719671113,0.210485650312766,0.327586061400582,0.370313002149986,0.0304332956206933,0.0944341007794193,0.0541573915526162,0.159518713830114,0.446476675523957,0.439232326279902,0.794157013122079,0.749899115882362,0.387014467857812,0.163701841838431,0.142359191034322,0.0521368295443391,0.913795706927823,2.00711237553343
"MA","25",47.1070935483128,2.60047884840134,0.0902766403310842,0.757496173870062,0.0568950481824705,0.0675817390615201,0.0119443114293059,6.40933660674733,2.35440013412654,0.584599580152631,0.137588646933174,0.216085976489874,0.221934971603456,0.0853261864003547,0.351675390260857,0.411291167188925,0.237033442550223,1.49941173771018,1.97075796204302,3.47048552376281,0.0608928248162431,0.407965727991867,0.340767794229095,0.12674717984387,0.190373652962799,26.8964401354228,0.267046007586897,0.526391702767357,0.225313146171416,0.293910138076819,0.364683719208915,0.0242578907543582,0.113533059469148,0.0567308466499823,0.197267179572221,0.495876369798732,0.377707189946116,0.877414741505139,0.777193017985871,0.438682810580803,0.166268359756428,0.193894593227027,0.0745582157286541,0.809469793160658,1.72936400541272
"MI","26",47.503871505073,2.61948623848806,0.0398165032659619,0.763953816220924,0.132751304967318,0.031404870312567,0.0136375330144729,5.94909086521108,2.56411645833393,0.50770414699348,0.177033220723989,0.229032043201481,0.224893002596335,0.10355025075651,0.355681008046018,0.330842193562792,0.313476798391187,1.40485823881142,1.82369825215695,3.22998186916023,0.0842590297859363,0.451245177214774,0.308078052462471,0.105886662087179,0.156417740536816,28.1777010122302,0.276017833779383,0.515342549335934,0.187565550719469,0.34620356546156,0.405810976041044,0.036055048617024,0.1148371884209,0.0875142300027004,0.213414666131638,0.354561416976071,0.352121688389932,0.83034924432053,0.698807252191238,0.484272676614959,0.213991025540091,0.188847710712315,0.0624873281369155,0.895601812655611,1.99715606114469
"MN","27",46.9393041210586,2.5962989379938,0.0414996282287099,0.83896882609862,0.0444824604323807,0.0565879650576373,0.0050400449003567,6.35692274527845,2.35720644045202,0.581706060220675,0.124119888601657,0.172554805680817,0.166020092448627,0.0743134719367139,0.362023810227565,0.385261502673832,0.252710295037093,1.38579214848758,1.81716778709419,3.20800654353314,0.0751992537721509,0.468025968430047,0.294745931468781,0.110965408567554,0.162028846329028,27.1975252175398,0.263242154570139,0.512933670061669,0.204163545834106,0.270275935919337,0.336236796028374,0.0210951282530207,0.0767565172291806,0.0426525325199092,0.184254111608049,0.461225290685278,0.282989323012779,0.729431675725441,0.682317715689911,0.459487951084894,0.180331301343099,0.209998829953134,0.0728746967494609,0.888616715775729,2.11958146487294
"MS","28",46.5925597119104,2.57171890072886,0.0213291702774098,0.589697507339287,0.35745637758605,0.0162897918083355,0.00737379845021391,5.31352432660196,2.73860438096451,0.445212184612875,0.244314244044581,0.261189779998062,0.226448060570313,0.128701046471289,0.346200549478786,0.303001949092851,0.350797501428359,1.15736882026206,1.61528850638924,2.77352069645529,0.14194115184647,0.481884419954923,0.26672341268545,0.0740523604089792,0.109451015513155,28.6994008295177,0.43541109415291,0.355386034918087,0.143332861336554,0.401738299192208,0.4193665599957,0.0449552301547155,0.0820251440879923,0.0871840930289351,0.192282285470442,0.373063858350172,0.413359008448817,0.772932812923728,0.702623231396813,0.463017378951335,0.248143669680595,0.12370781733508,0.0421915981746941,0.823844711364026,2.38253012048193
